               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.025502,            0.018996,           0.0015844,             0.89333,              0.8532,             0.89362,             0.61837,            0.026086,            0.020036,           0.0021944,            0.008845,            0.008845,            0.008845
                  37,            0.025226,            0.019179,           0.0015739,             0.90796,             0.85215,             0.90967,             0.62658,             0.02576,            0.020483,           0.0021839,            0.008812,            0.008812,            0.008812
                  38,            0.025448,            0.019141,           0.0015501,             0.91919,             0.85653,              0.9127,             0.63164,            0.025611,            0.019857,           0.0019955,            0.008779,            0.008779,            0.008779
                  39,            0.024966,            0.019107,            0.001515,             0.89606,             0.86849,             0.90428,             0.63117,            0.025602,            0.019998,           0.0020446,            0.008746,            0.008746,            0.008746
                  40,            0.025132,            0.018849,           0.0014958,             0.91755,             0.85619,             0.89957,             0.62035,            0.025851,            0.020092,           0.0021241,            0.008713,            0.008713,            0.008713
                  41,            0.024622,            0.018673,            0.001402,             0.90372,               0.851,             0.90282,             0.63325,            0.025574,            0.019918,           0.0020199,             0.00868,             0.00868,             0.00868
                  42,            0.024435,            0.018336,           0.0015026,             0.90651,             0.86116,             0.91302,              0.6386,            0.025274,            0.019726,            0.001901,            0.008647,            0.008647,            0.008647
                  43,            0.024413,            0.018274,           0.0014941,               0.909,             0.85756,             0.90336,             0.62829,             0.02561,            0.020294,           0.0021702,            0.008614,            0.008614,            0.008614
                  44,            0.024186,            0.018162,            0.001445,             0.91781,             0.85532,             0.90451,             0.63405,            0.025279,            0.019963,           0.0019148,            0.008581,            0.008581,            0.008581
                  45,            0.023736,            0.018212,           0.0014055,             0.91582,             0.85462,              0.9085,             0.63422,            0.025157,            0.019951,           0.0019399,            0.008548,            0.008548,            0.008548
                  46,            0.024064,            0.018212,           0.0014234,             0.91136,             0.84666,             0.90614,              0.6303,            0.025341,            0.020583,           0.0021849,            0.008515,            0.008515,            0.008515
                  47,            0.024274,            0.018234,           0.0014345,             0.90505,             0.86539,              0.9048,             0.63002,            0.025299,            0.020297,           0.0020394,            0.008482,            0.008482,            0.008482
                  48,            0.023565,            0.017727,           0.0013634,             0.90075,             0.86995,             0.90515,             0.63442,             0.02526,            0.020324,           0.0020752,            0.008449,            0.008449,            0.008449
                  49,            0.023845,            0.017672,           0.0013125,             0.91818,             0.87167,             0.91905,               0.636,            0.025074,            0.019686,            0.001875,            0.008416,            0.008416,            0.008416
                  50,            0.023561,             0.01736,           0.0013248,              0.9213,             0.86778,             0.91706,             0.63365,            0.025087,            0.019949,           0.0018522,            0.008383,            0.008383,            0.008383
                  51,            0.023386,            0.017998,           0.0013184,             0.91676,             0.86226,             0.91381,             0.63785,            0.025045,            0.020263,           0.0019778,             0.00835,             0.00835,             0.00835
                  52,            0.023321,            0.017686,           0.0012173,             0.92186,              0.8777,             0.91971,             0.64506,            0.024785,            0.020143,           0.0020581,            0.008317,            0.008317,            0.008317
                  53,            0.023571,            0.017791,           0.0013197,             0.90614,              0.8704,             0.90398,             0.63447,             0.02511,            0.020005,           0.0020038,            0.008284,            0.008284,            0.008284
                  54,            0.023243,            0.017426,           0.0013196,             0.92072,               0.861,             0.91052,             0.64183,            0.024934,            0.020084,           0.0018549,            0.008251,            0.008251,            0.008251
                  55,            0.022772,            0.017399,           0.0012757,             0.91418,             0.87998,             0.91807,             0.64937,            0.024819,            0.019419,           0.0018873,            0.008218,            0.008218,            0.008218
                  56,             0.02328,            0.017776,           0.0013063,             0.92471,             0.86419,             0.91448,             0.64641,            0.024854,             0.02018,           0.0021003,            0.008185,            0.008185,            0.008185
                  57,            0.023296,            0.017534,            0.001336,             0.91069,             0.87506,             0.91442,             0.64788,            0.024568,             0.01945,           0.0019909,            0.008152,            0.008152,            0.008152
                  58,            0.023107,            0.017746,           0.0012491,             0.93264,              0.8585,              0.9117,             0.64531,            0.024704,            0.020097,           0.0020735,            0.008119,            0.008119,            0.008119
                  59,            0.022619,            0.017174,           0.0012099,             0.91205,             0.86543,             0.91328,             0.64695,            0.024576,            0.019681,           0.0019123,            0.008086,            0.008086,            0.008086
                  60,            0.022357,            0.017069,           0.0012635,             0.91436,             0.87143,             0.91051,               0.651,            0.024603,             0.02021,           0.0019699,            0.008053,            0.008053,            0.008053
                  61,            0.022588,            0.017355,           0.0012849,             0.91254,             0.87443,             0.91221,             0.64987,            0.024787,            0.019934,           0.0021073,             0.00802,             0.00802,             0.00802
                  62,            0.022304,            0.016985,           0.0012232,             0.92235,             0.85222,             0.91513,             0.65055,            0.024405,            0.019878,           0.0019621,            0.007987,            0.007987,            0.007987
                  63,            0.022325,            0.017023,           0.0011918,             0.91045,               0.878,             0.92096,             0.65446,            0.024389,            0.019676,            0.002022,            0.007954,            0.007954,            0.007954
                  64,            0.022542,            0.017155,           0.0012573,              0.9207,             0.86382,             0.92141,             0.65167,            0.024357,            0.019701,           0.0018697,            0.007921,            0.007921,            0.007921
                  65,            0.022328,            0.016939,           0.0011653,             0.91464,             0.87782,              0.9176,             0.65455,            0.024417,            0.019977,           0.0020134,            0.007888,            0.007888,            0.007888
                  66,             0.02206,            0.016858,           0.0011217,             0.92789,             0.87265,               0.917,             0.65371,            0.024387,            0.020207,           0.0018998,            0.007855,            0.007855,            0.007855
                  67,            0.022123,            0.017157,           0.0012049,             0.90931,             0.86855,             0.91124,             0.65585,            0.024275,            0.020414,           0.0018128,            0.007822,            0.007822,            0.007822
                  68,            0.021889,            0.016707,            0.001243,             0.89703,             0.87187,             0.90801,             0.65049,            0.024373,            0.020591,           0.0018649,            0.007789,            0.007789,            0.007789
                  69,            0.022041,            0.016707,           0.0012189,             0.91577,             0.87394,             0.91182,             0.65866,            0.023978,            0.020026,           0.0019272,            0.007756,            0.007756,            0.007756
                  70,            0.022002,            0.016545,           0.0011741,             0.92723,             0.86462,             0.91632,              0.6563,            0.024142,            0.020058,           0.0019618,            0.007723,            0.007723,            0.007723
                  71,            0.021729,            0.016743,           0.0011927,             0.91452,             0.87973,             0.91747,             0.65628,            0.024067,            0.019653,           0.0018119,             0.00769,             0.00769,             0.00769
                  72,            0.021629,            0.016483,           0.0011433,             0.92625,             0.87657,             0.92052,             0.65812,            0.024063,            0.019823,           0.0018301,            0.007657,            0.007657,            0.007657
                  73,            0.021629,            0.016455,           0.0012336,             0.92532,             0.88241,             0.92174,             0.66156,            0.024129,            0.019916,           0.0018829,            0.007624,            0.007624,            0.007624
                  74,            0.021894,             0.01637,            0.001206,             0.92417,              0.8824,             0.92073,             0.66308,            0.024056,             0.01968,           0.0018302,            0.007591,            0.007591,            0.007591
                  75,            0.021635,            0.016369,            0.001171,             0.92009,             0.87593,             0.92091,             0.66719,            0.023979,            0.019966,           0.0019102,            0.007558,            0.007558,            0.007558
                  76,             0.02141,            0.016496,           0.0011017,             0.91692,             0.88218,             0.92057,               0.669,            0.023993,            0.020553,           0.0019858,            0.007525,            0.007525,            0.007525
                  77,            0.021469,              0.0164,           0.0011319,             0.91545,             0.87873,             0.92217,             0.66987,            0.023872,            0.020205,           0.0018546,            0.007492,            0.007492,            0.007492
                  78,            0.021126,            0.016269,           0.0010868,             0.92646,             0.88427,             0.92151,              0.6655,            0.023853,            0.019838,           0.0018744,            0.007459,            0.007459,            0.007459
                  79,            0.021529,            0.016381,           0.0011412,             0.93019,             0.87893,             0.92123,             0.66118,            0.024047,            0.020039,           0.0019602,            0.007426,            0.007426,            0.007426
                  80,            0.021373,            0.016395,           0.0011215,             0.91729,             0.88355,             0.92156,             0.66368,            0.023833,            0.019935,           0.0019608,            0.007393,            0.007393,            0.007393
                  81,            0.021156,            0.016424,           0.0010742,             0.92311,             0.88392,             0.91865,             0.66482,            0.023905,            0.019837,           0.0017756,             0.00736,             0.00736,             0.00736
                  82,             0.02124,             0.01628,           0.0011197,             0.92544,             0.88315,             0.92061,              0.6669,            0.023817,            0.019704,           0.0017696,            0.007327,            0.007327,            0.007327
                  83,            0.021011,            0.016196,           0.0010934,             0.91857,              0.8807,             0.91505,             0.66608,            0.023867,            0.020062,           0.0018814,            0.007294,            0.007294,            0.007294
                  84,            0.020952,            0.016214,           0.0010699,             0.92653,             0.86841,             0.91763,             0.66275,            0.023899,            0.020172,           0.0019103,            0.007261,            0.007261,            0.007261
                  85,             0.02076,            0.015999,           0.0010229,             0.92125,             0.87427,             0.91809,             0.66689,            0.023831,            0.020141,           0.0018345,            0.007228,            0.007228,            0.007228
                  86,            0.020806,            0.016013,           0.0010744,               0.929,             0.87787,             0.91715,             0.66606,            0.023876,            0.020258,           0.0017665,            0.007195,            0.007195,            0.007195
                  87,            0.020868,            0.016239,           0.0010805,              0.9262,             0.88733,             0.91678,             0.66584,            0.023918,            0.020012,           0.0018695,            0.007162,            0.007162,            0.007162
                  88,            0.020748,            0.015747,           0.0011278,             0.91953,             0.88177,             0.91795,             0.66576,            0.023731,            0.020002,           0.0017662,            0.007129,            0.007129,            0.007129
                  89,            0.020669,            0.015781,           0.0010391,             0.91709,             0.88684,             0.91776,              0.6696,            0.023845,            0.020071,           0.0019254,            0.007096,            0.007096,            0.007096
